62.5816,31.8318,23.0481,18.1994,13.5404,12.4543,9.80658,8.69502,6.03058,5.42638,4.72294,3.7243
3.09314,2.81135,2.10872,1.99493,1.5433,1.42157,1.6063,1.12327,1.23704,1.10656,1.04234,0.975605
0.69094,0.878801,0.822451,0.721405,0.645098,0.559197,0.653701,0.565125,0.502747,0.493723,0.512676,0.386432
0.395947,0.348159,0.360646,0.324199,0.39206,0.344556,0.28113,0.292938,0.30589,0.326419,0.273791,0.267003
0.280667,0.265244,0.225418,0.219813,0.225638,0.237929,0.237524,0.206955,0.219881,0.186986,0.215385,0.199089
0.209291,0.20444,0.186474,0.203226,0.190754,0.170556,0.189063,0.201385,0.1687,0.174641,0.153351,0.171252
0.16399,0.161878,0.177104,0.165276,0.161415,0.154646,0.163059,0.143631,0.156767,0.159449,0.173952,0.173041
0.138241,0.164116,0.134499,0.154105,0.130884,0.155625,0.144992,0.143165,0.164412,0.155468,0.159088,0.152806
0.162313,0.141746,0.147733,0.140192,0.127493,0.147311,0.156437,0.125948,0.128592,0.173793,0.138333,0.116115
0.160147,0.139904,0.120068,0.152125,0.109096,0.130369,0.153283,0.131151,0.138479,0.137328,0.147479,0.125602
0.131423,0.126855,0.130249,0.12544,0.12754,0.127954,0.112646,0.12205,0.114528,0.12148,0.118271,0.12452
0.137376,0.117012,0.108156,0.0986817,0.131903,0.132477,0.0960684,0.107893,0.118628,0.105584,0.107367,0.100118
0.116452,0.118615,0.103515,0.0856894,0.095828,0.100583,0.119222,0.100217,0.108615,0.116444,0.120113,0.102057
0.109618,0.103222,0.111361,0.11162,0.116741,0.103147,0.098723,0.103681,0.112393,0.0864218,0.0985263,0.0935336
0.0865995,0.0962118,0.116308,0.0960253,0.111208,0.102565,0.0858999,0.0876035,0.0835014,0.0885929,0.0969489,0.102341
0.0891095,0.0872268,0.0895491,0.0950652,0.0712714,0.0694137,0.11262,0.0800056,0.0938957,0.090549,0.0911559,0.115597
0.0985069,0.0802565,0.0948301,0.0996646,0.0800307,0.105282,0.0692848,0.0899308,0.0812226,0.0761347,0.0894096,0.0825211
0.070774,0.0801316,0.0988307,0.0836825,0.0957253,0.0856129,0.0959026,0.083794,0.0875366,0.0794074,0.0725331,0.0708193
0.0884818,0.0655476,0.068915,0.0747709,0.0836557,0.0868322,0.0704271,0.0798142,0.0801979,0.0832122,0.0902007,0.0966542
0.0834507,0.0839787,0.0779248,0.0761922,0.0711528,0.0865635,0.0788003,0.0803362,0.0702532,0.0946222,0.0693223,0.0858807
0.0702518,0.100023,0.0772458,0.0812474,0.0730388,0.0941604,0.0839448,0.0883247,0.0823726,0.101616,0.0756467,0.0745005
0.103849,0.0737704,0.0779658,0.0891913,0.0879106,0.0881616,0.0812894,0.0612597,0.0736925,0.0780821,0.076557,0.0676366
0.0715424,0.0758621,0.0816571,0.0707881,0.0813502,0.0823841,0.0775205,0.075247,0.0590951,0.0591658,0.071844,0.0640128
0.0746772,0.0714753,0.0737612,0.0803151,0.058459,0.0630789,0.0551562,0.0829044,0.0621868,0.0704942,0.0725931,0.0689145
